Current_Code,Current_Name,Current_NameVi,Action,New_Code,New_Name,New_NameEn,New_NameVi,New_NameZh,Notes
IN_HOA,In hoa,In hoa,UPDATE,PT,PT-In hoa,Printing Dept.,In hoa,,Code change IN_HOA → PT
LTB,LTB,LTB,UPDATE,LTB(F),LTB(F)-LTB vải,Fabric Little to bulk,LTB vải,,Code change LTB → LTB(F); nameVi updated
LTB_DAI,LTB đai,LTB đai,UPDATE,LTB(E),LTB(E)-LTB đai,Elastic Little to bulk,LTB đai,,Code change LTB_DAI → LTB(E)
PHONG_KIEM_NGHIEM,Phòng kiểm nghiệm,Phòng kiểm nghiệm,UPDATE,TL,TL-Kiểm nghiệm,Testing Laboratory,Kiểm nghiệm,,Code change PHONG_KIEM_NGHIEM → TL
NC_PT_VAI,Nghiên cứu phát triển vải,Nghiên cứu phát triển vải,UPDATE,RD,RD-Nghiên cứu và phát triển,Research and Development,Nghiên cứu và phát triển,,Code change NC_PT_VAI → RD; nameVi updated
GIAI_DOAN_TRUOC_NHUOM_SOI,Giai đoạn trước nhuộm sợi,Giai đoạn trước nhuộm sợi,UPDATE,PW,PW-GĐ Trước nhuộm sợi,Preceding & Weaving,GĐ Trước nhuộm sợi,,Code change GIAI_DOAN_TRUOC_NHUOM_SOI → PW
GIAI_DOAN_SAU_NHUOM_SOI,Giai đoạn sau nhuộm sợi,Giai đoạn sau nhuộm sợi,UPDATE,YDF,YDF-Nhuộm sợi,Yarn Weaving and Finishing,Nhuộm sợi,,Code change GIAI_DOAN_SAU_NHUOM_SOI → YDF
(none),(none),(none),CREATE,DCC,DCC-Kiểm soát văn kiện,Document Control Center,Kiểm soát văn kiện,,Create if doesn't exist
PTVL,Phát triển vật liệu,Phát triển vật liệu,REVIEW,PTVL,Phát triển vật liệu,Material Development Dept.,Phát triển vật liệu,,NOT in official list; needs review
PHONG_MAU,Phòng mẫu,Phòng mẫu,REVIEW,PHONG_MAU,Phòng mẫu,Sample Room,Phòng mẫu,,NOT in official list; needs review
SAN_XUAT,Sản xuất,Sản xuất,REVIEW,SAN_XUAT,Sản xuất,Production Department,Sản xuất,,NOT in official list; needs review
DET_NGANG_S,Dệt ngang - S,Dệt ngang - S,REVIEW,DET_NGANG_S,Dệt ngang - S,Weft Knitting Department - S,Dệt ngang - S,,NOT in official list; sub-dept?
CN_HUNG_YEN_DET_NGANG,Chi nhánh Hưng Yên - Dệt ngang,Chi nhánh Hưng Yên - Dệt ngang,REVIEW,CN_HUNG_YEN_DET_NGANG,Chi nhánh Hưng Yên - Dệt ngang,Weft Knitting Department - Hung Yen Branch,Chi nhánh Hưng Yên - Dệt ngang,,NOT in official list; branch office
CN_NGHE_AN_2_DET_NGANG,Chi nhánh Nghệ An 2 - Dệt ngang,Chi nhánh Nghệ An 2 - Dệt ngang,REVIEW,CN_NGHE_AN_2_DET_NGANG,Chi nhánh Nghệ An 2 - Dệt ngang,Weft Knitting Department - Nghe An 2 Branch,Chi nhánh Nghệ An 2 - Dệt ngang,,NOT in official list; branch office
CN_HUNG_YEN_DET_DAI,Chi nhánh Hưng Yên - Dệt đai,Chi nhánh Hưng Yên - Dệt đai,REVIEW,CN_HUNG_YEN_DET_DAI,Chi nhánh Hưng Yên - Dệt đai,Weaving Machine Department - Hung Yen Branch,Chi nhánh Hưng Yên - Dệt đai,,NOT in official list; branch office
MG,MG,MG,REVIEW,MG,MG,MG,MG,,NOT in official list; unknown department
